Grado,#,Mostro,Dim.,Famiglia,PV,PM,Att.,Dif.,Agi.,Int.,Abilità e tratti,,,
F,1,Multifoglia,1,Slime,760,340,550,660,670,500,Recupera & risparmia,Astuzia della Morte rapida,Whack Attack,Velocipiù immediato
F,2,Lacertoflamma,1,Drago,740,400,660,540,620,320,Evasione totale,Attacco multiplo,Ammazzagiganti,Astuzia del Respiro di fuoco
F,3,Cruelcucumber,1,Natura,660,480,680,720,430,580,Ultimatum,Astuzia dello Stoopid,Magic Drain Attack,Counterslammer
F,4,Picchiune,1,Bestia,720,380,620,650,590,560,Centro perfetto,Agguato esperto,Astuzia della Danzaluce,1-2 Moves
F,5,Ferocandela,1,Materiale,650,360,740,750,560,580,Guru della Fiamma,Crafty Decelerater ,Protective Fog,Astuzia della Fiamma
F,6,Monocolo,1,Demone,660,420,640,820,540,560,Desperado,Astuzia dello Spruzzo,Gardameh,1-2 Moves
F,7,Fuoco fatuo,1,Non-morti,780,480,360,670,580,700,Guru della Fiamma,Astuzia della Fiamma,Guru del Pyro,Magic Drain Attack
F,8,Slime,1,Slime,720,280,680,570,780,500,Mitico critico,Astuzia della Fiamma,Guru del Fulmine,1-2 Moves
F,9,Giallosauro,1,Drago,800,120,760,580,760,200,Astuzia del Respiro di fuoco,Fuga da maestro,Fortunato,1-2 Moves
F,10,Zanzakiller,1,Natura,720,300,720,450,800,460,Evasione totale,Hit Squad (6),Vento frenante casuale,1-2 Moves
F,11,Ornitorink,1,Bestia,680,380,700,740,580,400,Hit Squad (3),Fascino strano,Enemy Tension Down,Random Fizzle
F,12,Sacco golosone,1,Materiale,700,480,520,580,670,700,Astuzia del Sonnolento,Astuzia dell'Inazione,Intellygo immediato,Ammazza Metallo
F,13,Vampistrello,1,Demone,640,380,610,670,920,540,Evasione totale,Astuzia del Vento,Astuzia dell'Indebolente,Ally Tension Rise
F,14,Phantasma,1,Non-morti,650,480,580,620,710,700,Evasione totale,Astuzia dello Spruzzo,Astuzia del Debilis,Sleep Attack
F,15,Maluovo,1,Slime,680,380,600,880,580,520,Astuzia del Blocca-K.O.,Astuzia della Danza proibita,Magic Drain Body,Rare Tension
F,16,Frufrina,1,Drago,800,260,700,660,470,300,Centro perfetto,Astuzia del Respiro di fuoco,Ooomph immediato,Astuzia del Confusore
F,17,Pepe & Rone,1,Natura,740,440,560,600,560,560,Ally Tension Rise,Astuzia del Bloccacolpi,Rigenerazione magica,Whack Attack
F,18,Cattivalpa,1,Bestia,710,280,720,700,640,440,Increase Tension,Item Chance Up,Gold Up,1-2 Moves
F,19,Pu pazzo,1,Materiale,700,360,690,800,560,280,Astuzia della Danza proibita,Astuzia del Confusore,Magic Drain Attack,1-2 Moves
F,20,Smacker,1,Demone,690,440,640,700,540,480,Astuzia del Confusore,Astuzia dell'Indebolente,Random Fizzle,Astuzia dell'Inazione
F,21,Ceppo Geppo,1,Non-morti,740,360,680,820,350,380,Astuzia dell'Abilitatore,Astuzia del PickMagic,Magic Drain Attack,Rigenerazione magica
F,22,Bollaslime,1,Slime,680,460,620,680,580,520,Poison Body,Astuzia dell'Elektron,Poison Attack,1-2 Moves
F,23,Dragospino,1,Drago,780,240,580,820,630,380,Evasione totale,Astuzia del Veleno,Sleep Attack,Astuzia del PickMagic
F,24,Killarpillar,1,Natura,700,380,620,690,620,580,Desperado,Poison Attack,Superdifesa immediata,Contrattaccante
F,25,Satyro,1,Bestia,740,340,640,700,520,520,Scout Chance Up,Random Fizzle,Astuzia del Sonnolento,Astuzia del Confusore
F,26,Burrm a orologeria,1,Materiale,710,360,720,720,480,400,Guru della Gravitas,Ooomph casuale,Tensione casuale,Random Nether Fog
F,27,Taglialbero,1,Demone,640,480,620,680,710,500,Evasione totale,Hit Squad (4),Astuzia del Confusore,1-2 Moves
F,28,Nauseafungus,1,Non-morti,680,400,660,700,600,520,Astuzia del Veleno,Confusion Attack,Astuzia della Danzaluce,Counterslammer
F,29,Dottor Slime,1,Slime,640,480,490,660,840,800,Recupera & risparmia,Astuzia del PickMagic,Magic Drain Attack,Gardameh
F,30,Dragocertola,1,Drago,800,160,760,620,620,240,Fuga da maestro,Paralysis Attack,Prima e meglio,Astuzia dello Stoopid
F,31,Formica soldato,1,Natura,680,280,740,820,580,480,Superdifesa immediata,Astuzia dell'Abilitatore,Ooomph immediato,Desperado
F,32,Martellus,1,Bestia,780,160,800,640,540,360,Increase Tension,Ally Tension Rise,Desperado,Tensione immediata
F,33,Spirito gelido,1,Materiale,700,380,680,630,600,500,Guru del Gelo,Astuzia del Respiro ghiacciato,Astuzia del Gelo,Ammazzastandard
F,34,Vegetribù,1,Demone,680,320,660,660,840,440,Hit Squad (4),Scout Chance Up,Increase Tension,1-2 Moves
F,35,Mano,1,Non-morti,700,420,680,590,570,480,Astuzia dell'Abilitatore,Astuzia del Bloccacolpi,Astuzia del Confusore,Confusion Attack
F,36,Slimetta,1,Slime,800,320,600,530,600,460,Guru della Fiamma,Astuzia della Danzaluce,Astuzia dello Spruzzo,Astuzia del Blocca-K.O.
F,37,Jargon,1,Drago,800,160,780,800,300,440,Mitico critico,Rare Tension,Ammazzastandard,Desperado
F,38,Ghiandaia floreale,1,Natura,640,360,640,600,950,580,Velocipiù immediato,Astuzia dello Spruzzo,Fascino strano,Fortunato
F,39,Scaraforbici,1,Natura,780,280,660,920,320,320,Increase Tension,Astuzia del Paralizzante,Persistent,Tensione immediata
F,40,Kan Kanide,1,Bestia,730,180,740,740,660,480,Enemy Tension Down,Exp Up,Scout Chance Up,1-2 Moves
F,41,Sole & Soletto,1,Materiale,680,480,680,720,440,400,Guru del Bang,Astuzia del Bang,Sveglia ritardata,Anticontrattaccante
F,42,Riccio ribelle,1,Demone,670,480,480,500,900,800,Evasione totale,Recupera & risparmia,Astuzia della Danza proibita,Velocipiù immediato
F,43,Droll,1,Non-morti,680,400,610,620,780,520,Flustered,Magic Drain Body,Astuzia del Diavolo,Fortunato
F,44,Minidrago Slime,1,Slime,700,340,680,560,740,520,Evasione totale,Astuzia del Pyro,Velocipiù immediato,Desperado
