monster_id,monster_name
0,
1,Slime
2,Bubble Slime
3,Shell Slime
4,Healslime
5,Drake Slime
6,Metal Slime
7,Slime Knight
8,Wild Slime
9,Liquid Metal Slime
10,Angel Slime
11,King Slime
12,King Bubble Slime
13,Metal King Slime
14,Grandpa Slime
15,Gem Slime
16,Trode
17,She-Slime
18,Snail Slime
19,Cureslime
20,Behemoth Slime
21,Beshemoth Slime
22,Dragon Slime
23,Metal Slime Knight
24,Metal Kaiser Slime
25,Dark Slime Knight
26,Dark Slime
27,King Cureslime
28,Darkonium Slime
29,Mottle King Slime
30,
31,Slime Gang
32,Slider Girl
33,Slime Blaster
34,Dark Mecha-Slime
35,Diamond Slime
36,Liquid Metal King Slime
37,Kon The Knight
38,Prism Peacock
39,
40,Goresby-Purrvis
41,Yggdrasil
42,Munchie
43,Mossferatu
44,Baalzack
45,
46,Pruslas
47,Robbin's Old Lady
48,Small Fry
49,Komodo
50,Gasbagon
51,Argon Lizard
52,
53,Green Dragon
54,Drag-goof
55,Jargon
56,Metal Dragon
57,Drag Racer
58,Hacksaurus
59,Red Dragon
60,Dragurn
61,Great Argon Lizard
62,Ethereal Serpent
63,Mechanowyrm
64,Great Dragon
65,Drakulard
66,Dragonlord
67,
68,Dragovian Lord
69,Mandrake Marshal
70,Skelegon
71,Dragonthorn
72,Nardragon
73,Frou-Fry
74,Sea Dragon
75,Seasaur
76,Snapdragon
77,Drakularge
78,Tyrantosaurus
79,Black Dragon
80,Frou-Frou
81,Abyss Diver
82,Megalodon
83,Alabast Dragon
84,
85,Dragonfry
86,Damselfly
87,Armoured Wartoise
88,Dragon Rider
89,Rashaverak
90,Tortoceratops
91,Sintaur
92,Bilhaw
93,Tri Winder
94,Dimensional Dragon
95,Xiphos
96,Platypunk
97,Great Sabrecub
98,Scissor Beatle
99,Stark Raven
100,Jailcat
101,Khalamari Kid
102,Capsichum
103,Hell Hornet
104,Chimaera
105,Hades Condor
106,Frogface
107,Crabid
108,Bullfinch
109,Eyevory Tusk-Tusk
110,Giant Moth
111,Treeface
112,Yabby
113,Gorerilla
114,Scorpion
115,Heligator
116,Great Sabrecat
117,Garuda
118,Bantamweight
119,Firebird
120,Elder Pipit
121,King Squid
122,Khalamari
123,Leopold
124,Empyrea
125,Spiked Hare
126,Powie Yowie
127,Wild Boarfish
128,Eveel
129,Riptide
130,Beetlebully
131,Cruelcumber
132,Army Ant
133,Florajay
134,Cactiball
135,Sentripede
136,Rockin' Rockhopper
137,Whackanape
138,Lleviathan
139,Pipit
140,Compos Mantis
141,Flamethrower
142,Blizzybody
143,Wooper Trooper
144,Mischievous Mole
145,Bodkin Archer
146,Hammerhood
147,Satyr
148,Jumping Jackal
149,Genie Sanguini
150,Chainine
151,Puppeteer
152,Beetleboy
153,Orc
154,Headhunter
155,Fallen Priest
156,Fencing Fox
157,Pan Piper
158,
159,Gargoyle
160,Weartiger
161,
162,Gigantes
163,Cockateer
164,Monkey Zombie
165,Notso Macho
166,King Sanguini
167,Boss Troll
168,Atlas
169,Don Mole
170,Robbin' Hood
171,Dhoulmagus
172,Rhapthorne
173,Rhapthorne II
174,Ace Of Spades
175,Brownie
176,Leokid
177,
178,Boppin' Badger
179,Pickayune
180,Vampire Cat
181,Sea Dog
182,Damned Ram
183,Bewarewolf
184,Mortoad
185,Tigertaur
186,Half Hog
187,Tantamount
188,Squign
189,Alphyn
190,Goreham-Hogg
191,Slon The Rook
192,Bag O' Laughs
193,Wax Murderer
194,Firespirit
195,Mecha-Mynah
196,Mud Mannequin
197,Dingaling
198,Goodybag
199,Shadow
200,Cannibox
201,Spitnik
202,Hunter Mech
203,Rockbomb
204,Mum
205,Golem
206,Boh
207,Dancing Flame
208,Jum
209,Frostburn
210,Boe
211,King Kelp
212,Mimic
213,Diemon
214,Uberkilling Machine
215,Gold Golem
216,Living Statue
217,Trap Box
218,Killing Machine
219,Mumboh-Jumboe
220,Ruin
221,Psaro
222,Estark
223,Anchorman
224,Ticking Timeburrm
225,Corrupt Carter
226,Pocus Poppet
227,Axecutioner
228,Chariot Chappie
229,Moai Minstrel
230,Harmour
231,Foo Dog
232,Cumulus Rex
233,Octagoon
234,Wishmaster
235,Stainless Scrapper
236,Scytheborg
237,Terracotta Warrior
238,Escudogre
239,The Time Being
240,Dracky
241,Lips
242,Winky
243,Imp
244,Lump Wizard
245,Night Emperor
246,Dancing Devil
247,Knight Aberrant
248,Merman
249,Lesser Demon
250,Gryphon
251,Aggrosculpture
252,Octavian Sentry
253,Silvapithecus
254,Malevolynx
