id,nome mostro
0,
1,Slime
2,Bollaslime
3,Guscioslime
4,Dottor Slime
5,Minidrago Slime
6,Slime metallico
7,Paladino Slime
8,Slimpunk
9,Metaliquislime
10,Slime angelico
11,Re Slime
12,Re Bollaslime
13,Re Metalslime
14,Nonno Slime
15,Prezioslime
16,Trode
17,Slimetta
18,Slimaca
19,Curaslime
20,Gigaslime
21,Gigaslime arancione
22,Dragonslime
23,Metalcabal Slime
24,Metalslime regale
25,Milislime oscuro
26,Slime oscuro
27,Re Curaslime
28,Slime Darkonium
29,Re Slime maculato
30,
31,Gang Slime
32,Ragazza Slider
33,Slime Blaster
34,Roboslime oscuro
35,Sliamante
36,Re Metaliquislime
37,Cavalliere
38,Pavone prismatico
39,
40,Generale Pardus
41,Yggdrasil
42,Munchie
43,Musferatu
44,Balzack
45,
46,Pruslas
47,Robbin's Lady
48,Lacertoflamma
49,Giallosauro
50,Pallodrago
51,Dragocertola
52,
53,Verdrago
54,Dragarcio
55,Jargon
56,Metaldragone
57,Kurridor
58,Asciasauro
59,Porpordrago
60,Jargon verde
61,Megacertola
62,Serpe eterea
63,Mechadrago
64,Gigadragone
65,Draku Lard
66,Dragonlord
67,
68,Sire Dragoviano
69,Mandragola soldato
70,Skeledrago
71,Dragospino
72,Dragocorno
73,Frufrina
74,Drago marino
75,Drago d'acqua
76,Rapax
77,Lardodragon
78,Tyrantosauro
79,Dragone nero
80,Frufrù
81,Dragoon
82,Megalodonte
83,Dragobastro
84,
85,Lacertoflamma
86,Libellula
87,Testuggine corazzata
88,Cavaliere dei Draghi
89,Rashaverak
90,Tartaculei
91,Ardimentauro
92,Grifotauro
93,Tri Aculeo
94,Drago dimensionale
95,Xiphos
96,Ornitorink
97,Baby Granzann
98,Scaraforbici
99,Corvoscuro
100,Rigatto
101,Baby piovra
102,Pepe & Rone
103,Infernape
104,Chimera
105,Condor blu
106,Ranassassina
107,Grankiolon
108,Toro incavolato
109,Pachidermico
110,Falena gigante
111,Faccia d'albero
112,Crostaceus
113,Groarilla
114,Skorpio
115,Kaiman
116,Koguar
117,Garuda
118,Peso gallo
119,Penna di fuoco
120,Pipetto Anziano
121,Piovra regina
122,Piovron
123,Leopold
124,Empyrea
125,Corniglio viola
126,Yeeteeh
127,Ichtus verde
128,Malanguilla
129,Assalitore marino
130,Scaradozer
131,Verdurfante
132,Formica soldato
133,Ghiandaia floreale
134,Cactusfera
135,Sentripede
136,Pinguinrock
137,Scimmia fracassona
138,Baleviatan
139,Pipit
140,Mantis composita
141,Lanciafuoco
142,Frigoforo
143,Guerreruspo
144,Cattivalpa
145,Anselmo Tell
146,Martellus
147,Satyro
148,Sciakallo
149,Sanguinigenio
150,Mastino guerriero
151,Burattinaio nero
152,Scarafante nero
153,Cinghialorco
154,Cacciateste
155,Druido del male
156,Athos
157,Pan
158,
159,Gargoyle
160,Tigre mannara
161,
162,Gigante
163,Pollo d'attacco
164,Scimmia Zombie
165,Pocomacho
166,Re Sanguini
167,Troll capo
168,Atlas
169,Don Mole
170,Ruban Hood
171,Dhoulmagus
172,Rhapthorne
173,Rhapthorne II
174,Asso di picche
175,Martellus magnus
176,Leonix
177,
178,Kan Kanide
179,Picchiune
180,Gatto vampiro
181,Cane di mare
182,Montone dannato
183,Lupomannaro
184,Rospo blu
185,Tigertaur
186,Mezzo porco
187,Tanamount
188,Squigno
189,Alfino
190,Generale Soinos
191,Slon la Torre
192,Sacco golosone
193,Ferocandela
194,Fuoco fatuo
195,Pettirobot
196,Pu pazzo
197,Campanella
198,Sacco dentato
199,Ombra
200,Cannibaule
201,Sole & Soletto
202,Mechator grigio
203,Esplo-sasso
204,Mam
205,Golem
206,Bu
207,Fiamma danzante
208,Jam
209,Spirito gelido
210,Bo
211,Alga sovrana
212,Skrigno dentato
213,Dademone blu
214,Uberkilling Machine
215,Golem dorato
216,Statua vivente
217,Demonskrigno
218,Mechacentauro
219,Mambu-Jambo
220,Rovina
221,Psaro
222,Estark
223,Ankora killer
224,Burrm a orologeria
225,Corriere Corrotto
226,Magibambola
227,Axecutioner
228,Carrettiere
229,Menestrello Moai
230,Armour
231,Caneffu
232,Cumulus Rex
233,Octagos
234,Signore dei desideri
235,Rottame d'acciaio
236,Borgomietitore
237,Guerriero di terracotta
238,Scudorkus
239,Semper Actualis
240,Vampistrello
241,Smacker
242,Monocolo
243,Diavoletto
244,Blob bianco
245,Re della notte
246,Demone danzante
247,Cavaliere Aberrante
248,Athlantos
249,Demone minore
250,Grifone
251,Aggroscultura
252,Polisentinella
