Grado,0,Mostro,Dim.,Family,Fiamma,Bang,Vento,Gelo,Fulmine,Elektron,Pyro,Respiro caldo,Respiro gelido,Donk,Morte rapida,Illusyo,Veleno,Confusione,Inazione,Paralisi,Sonno,Sag,Sap,Velocimeno,Dim,Boccachiusa,Danza ipnotica,Attacco,Rubamagia,Contromagia,Abiliterator,Sabotaggio magico
F,1,Multifoglia,1,Slime,,,,,,,^50%,Immune,,-25%,,^50%,-25%,,,,,,-25%,,,Immune,,Immune,,,,-25%
F,2,Lacertoflamma,1,Dragon,,,,,,,^50%,Immune,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,-25%
F,3,Cruelcucumber,1,Nature,,^50%,,,,,-25%,,,,-25%,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
F,4,Picchiune,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,Immune,,Immune,
F,5,Ferocandela,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,,,^50%,Immune,-25%,,Immune,,,,,,,
F,6,Monocolo,1,Demon,,,,^50%,-25%,,,,,,Immune,Immune,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
F,7,Fuoco fatuo,1,Zombie,Absorb,,-25%,-25%,-25%,^50%,,Absorb,-25%,,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
F,8,Slime,1,Slime,,,,,^50%,-25%,,,,,,Immune,,,,,,^50%,,-25%,,,,,-25%,^50%,,Immune
F,9,Giallosauro,1,Dragon,,,,,,,^50%,,,-25%,,Immune,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
F,10,Zanzakiller,1,Nature,,^50%,Immune,,,,-25%,-25%,,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
F,11,Ornitorink,1,Beast,^50%,,,-25%,,,-25%,,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,Immune,Immune,
F,12,Sacco golosone,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,Immune,,^50%,^50%,-25%,,Immune,,,,,-25%,,
F,13,Vampistrello,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
F,14,Phantasma,1,Zombie,-25%,,,,,^50%,,,,,Immune,-25%,^50%,Immune,,Immune,,,^50%,-25%,-25%,,,,,,,
F,15,Maluovo,1,Slime,,,^50%,,^50%,-25%,,,,,,Immune,,,,,,^50%,,,^50%,,,,-25%,^50%,,Immune
F,16,Frufrina,1,Dragon,,,,,,,^50%,,,-25%,,^50%,-25%,,,Immune,,,-25%,,^50%,Immune,,Immune,,,,
F,17,Pepe & Rone,1,Nature,-25%,^50%,,,,,-25%,,,,,,,,-25%,^50%,Immune,,,-25%,^50%,,Immune,,Immune,,,
F,18,Cattivalpa,1,Beast,^50%,,,-25%,,,,,-25%,,,Immune,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
F,19,Pu pazzo,1,Material,-25%,,-25%,,,,,,,^50%,Immune,Immune,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
F,20,Smacker,1,Demon,,,,^50%,-25%,,,,,,,Immune,,,Immune,-25%,,,,^50%,-25%,-25%,,,,Immune,,
F,21,Ceppo Geppo,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,,Immune,,,^50%,,,,,,,Immune,,
F,22,Bollaslime,1,Slime,,,,,^50%,-25%,,,,,,Immune,Immune,,-25%,,,^50%,,-25%,,,,,-25%,^50%,,Immune
