Re Curaslime|27,Magislime|381,Re Slime|11,Re Slime maculato|29,Gang Slime|31
Duran|405,Assalitore marino|129,Paladino Slime|7,Metalcabal Slime|23,Ultra Slime|428
Duran|405,Cavaliere dell'Ombra|319,Milislime oscuro|25,Slime oscuro|26,Slime Nemo|437
Forte di Nadiria|352,Re Metalslime|13,Ultra Slime|428,Rospo blu|184,Tankissimus|445
Slime Perbellum|433,Mechadrago|63,Scorpia|420,Slime angelico|10,Ragazza Slider|32
Tankissimus|445,Empyrea|124,Cancerio|422,Slime Darkonium|28,Slime Blaster|33
Sagitta|424,Carro Slival|427,Rhapthorne II|173,Sliamante|35,Roboslime oscuro|34
Orochi|388,Generale Soinos|190,Generale Pardus|40,Generale Gufus|282,Barbarus|358
Barbarus|358,Granvert|268,Dragobastro|83,Dragone nero|79,Drago dimensionale|94
Athos|156,Athos|156,Kan Kanide|178,Kan Kanide|178,Squigno|188
Psaro|221,Malroth|264,Ruban Hood|170,Draku Lard|65,Robbin's Lady|47
Mega Mechator|399,Atlas|168,Tyrantosauro|78,Riditarra|398,Cybercentauro|214
Slime Blaster|33,Rovina|220,Scudorkus|238,Slime Nemo|437,Carro Slival|427
Robbin's Lady|47,Sacco dentato|198,Ruban Hood|170,Sacco dentato|198,Principe Latrum|438
Baron Skeletro|306,Ossassassino|410,Mechacentauro|218,Demonstrum|417,Capitan Crow|309
Slime|1,Slime|1,Slime|1,Slime|1,Re Slime|11
Serpe d'ossa|409,Serpe d'ossa|409,Serpe boreale|387,Serpe boreale|387,Vermex|366
Grifone|250,Grifone|250,Koguar|116,Koguar|116,Lince alata|368
Pachidermico|109,Pachidermico|109,Grampistrello|272,Grampistrello|272,Wasen|360
Garuda|117,Garuda|117,Stella|356,Stella|356,Empyrea|124
