Ceppo Geppo|290,Slime|1,,,Multifoglia|373
Ovomarch|383,Multifoglia|373,,,Multifoglia Klar|443
Cacciateste|154,Zanzakiller|365,,,Ichtus verde|127
Condor blu|105,Maluovo|371,,,Pipit|139
Pipit|139,Nonno Slime|14,,,Pipetto Anziano|120
Ovattino|435,Re Sanguini|166,,,Divino|436
Mastino guerriero|150,Vampistrello|240,,,Sanguinis|431
Cattivalpa|144,Corriere Corrotto|225,,,Rossotalpa|442
Dhoulmagus|171,Sanguinigenio|149,,,Ovattino|435
Metalcabal Slime|23,Armatura letale|271,,,Mechator grigio|202
Condottierracotto|237,Statua vivente|216,,,Forte di Nadiria|352
Monocolo|242,Dragocertola|51,,,Vegetribù|361
Vegetribù|361,Diavoletto|243,,,Band|439
Gigante|162,Band|439,,,Ruban Hood|170
Ruban Hood|170,Sliamante|35,,,Principe Latrum|438
Darck|346,Sanguinigenio|149,,,Scruffy|369
Droll|411,Blob bianco|244,,,Droll Diabolista|444
Lince alata|368,Marchese de Léon|397,,,Leonix|176
Minitribù|403,Sanguinis|431,,,Stella|356
Baron Skeletro|306,Hargon|377,,,Mini Zoma|350
Leonix|176,Asso di picche|174,,,Malevoleonex|254
Empyrea|124,Leopold|123,,,Lupicche|336
Garuda|117,Gemon|407,,,Empyrea|124
