ID,Name,Rank,ForSale
20,Seed of Life,2,1
21,Seed of Magic,2,1
22,Seed of Strength,2,1
23,Seed of Defence,2,1
24,Seed of Agility,2,1
25,Seed of Wisdom,2,1
27,Seed of Hope,2,1
45,Beastie Bites,2,1
48,Book of Wulfspade,2,1
49,Book of Hawkhart,2,1
50,Book of Diamagon,2,1
51,Book of Cluboon,2,1
52,Warrior's Scroll,2,1
53,Mage's Scroll,2,1
54,Priest's Scroll,2,1
55,Martial Artist's Scroll,2,1
56,Sage's Scroll,2,1
57,Thief's Scroll,2,1
66,Timbrel of Tension,2,1
84,Head Over Heals,2,1
107,Machine Parts,2,1
156,Miracle Mace,2,1
176,Orichalcum Claws,2,1
188,Schleiman Shooter,2,1
195,Pile-On,2,1
196,Miracle Sword,2,1
198,Staff of Ghent,2,1
221,Burn Blade,2,1
224,Galaxy Axe,2,1
226,Star Crusher,2,1
227,Tension Crusher,2,1
228,Uber Gringham Whip,2,1
230,Xenlon Claws,2,1
232,Bright Staff,2,1
234,Monster Egg,2,1
252,Metal Slayer Primer,2,1
253,The Zero Seal,2,1
254,Giant Slayer Primer,2,1
