ID,Nome,Grado,In vendita
20,seme della vita,2,1
21,seme della magia,2,1
22,seme della potenza,2,1
23,seme della difesa,2,1
24,seme dell'agilità,2,1
25,seme della saggezza,2,1
27,Seme della speranza,2,1
45,deliziesca,2,1
48,libro di Lupicche,2,1
49,libro di Cuordifalco,2,1
50,libro di Quadrago,2,1
51,libro di Fiorango,2,1
52,testo del guerriero,2,1
53,testo del mago,2,1
54,testo del sacerdote,2,1
55,testo del lottatore,2,1
56,testo del saggio,2,1
57,testo del ladro,2,1
66,sonaglio di carica,2,1
84,Prontuario medico,2,1
107,frammento meccanico,2,1
156,mazza miracolosa,2,1
176,artigli d'orichalcum,2,1
188,cannone Tankissimus,2,1
195,pilaslime,2,1
196,spada dei miracoli,2,1
198,bastone di Ghent,2,1
221,Lama ardente,2,1
224,Ascia galattica,2,1
226,Spaccastelle,2,1
227,Spaccatensione,2,1
228,Superfrusta di Gringham,2,1
230,Artigli di Xenlon,2,1
232,Bastone splendente,2,1
234,Uovo di mostro,2,1
252,Metal Slayer Primer,2,1
253,The Zero Seal,2,1
254,Giant Slayer Primer,2,1
