Risultato,Grado,Famiglia,Mostro 1,Mostro 2,Mostro 3,Mostro 4
Slime maculato,E,Slime,Slime,Slimetta,,
Gigaslime arancione,D,Slime,Gigaslime,Slimetta,,
Metalcabal Slime,D,Slime,Slime metallico,Cavaliere feroce,,
Metalcabal Slime,D,Slime,Slime metallico,Paladino Slime,,
Re Slime maculato,D,Slime,Slime maculato,Slime maculato,Slime maculato,Slime maculato
Re Slime maculato,D,Slime,Gigaslime,Gigaslime arancione,,
Curaslime,C,Slime,Dottor Slime,Gigaslime arancione,,
Re Slime,C,Slime,Gigaslime,Gigaslime,,
Metaliquislime,C,Slime,Slime metallico,Slime metallico,,
Milislime oscuro,B,Slime,Slime oscuro,Cavaliere feroce,,
Milislime oscuro,B,Slime,Slime oscuro,Paladino Slime,,
Re Curaslime,B,Slime,Re Slime,Re Slime,,
Ovomarch,B,Slime,Maluovo,Re Slime maculato,,
Re Bollaslime,A,Slime,Bollaslime,Bollaslime,Re Slime,Re Slime
Metalslime regale,A,Slime,Metalcabal Slime,Metalcabal Slime,Re Curaslime,Re Curaslime
Re Metalslime,A,Slime,Metaliquislime,Metaliquislime,Metaliquislime,Metaliquislime
Cancerio,S,Slime,Prezioslime,Prezioslime,Granchio oscuro,Granchio oscuro
Slime Darkonium,S,Slime,Gigaslime arancione,Gigaslime arancione,Re Metalslime,Re Metalslime
Nonno Slime,S,Slime,Re Curaslime,Re Curaslime,Metalslime regale,Metalslime regale
Slime Perbellum,S,Slime,Metalslime regale,Metalslime regale,,
Sliamante,SS,Slime,Prezioslime,Prezioslime,Slime Darkonium,Slime Darkonium
Prezioslime,SS,Slime,Nonno Slime,Nonno Slime,Centopetra,Centopetra
Re Metaliquislime,SS,Slime,Slime Blaster,Sliamante,,
Kurridor,E,Drago,Giallosauro,Dragocertola,,
Kurridor,E,Drago,Giallosauro,Frufrina,,
Verdrago,E,Drago,Lacertoflamma,Lacertoflamma,,
Metaldragone,C,Drago,Porpordrago,Mechator grigio,,
Drago marino,C,Drago,Drago d'acqua,Malanguilla,,
Drago marino,C,Drago,Drago d'acqua,Sentripede,,
Cavalier dei Draghi,B,Drago,Dragarcio,Cavaliere feroce,,
Cavalier dei Draghi,B,Drago,Dragarcio,Paladino Slime,,
Serpe eterea,B,Drago,Serpe boreale,Serpe boreale,Serpe boreale,Serpe boreale
Frufrù,B,Drago,Frufrina,Frufrina,Frufrina,Frufrina
Megacertola,B,Drago,Dragocertola,Dragocertola,Dragocertola,Dragocertola
Mandragola soldato,B,Drago,Fantagnan,Porpordrago,,
Gigadragone,A,Drago,Rashaverak,Alfino,,
Gigadragone,A,Drago,Rashaverak,Ardimentauro,,
Gigadragone,A,Drago,Rashaverak,Tartaculei,,
Gigadragone,A,Drago,Rashaverak,Sire dei desideri,,
Mechadrago,A,Drago,Metaldragone,Gigadragone,,
Mechadrago,A,Drago,Metaldragone,Rashaverak,,
Rashaverak,A,Drago,Megacertola,Megacertola,Frufrù,Frufrù
Ardimentauro,A,Drago,Cavaliere Aberrante,Cavalier dei Draghi,,
Ardimentauro,A,Drago,Cavaliere Aberrante,Lardodragon,,
Ardimentauro,A,Drago,Cavaliere Aberrante,Mandragola soldato,,
Ardimentauro,A,Drago,Cavaliere Aberrante,Tartaculei,,
Dragobastro,S,Drago,Mechadrago,Draku Lard,,
Grifotauro,S,Drago,Centopetra,Scaradozer,,
Grifotauro,S,Drago,Centopetra,Dragone nero,,
Dragone nero,S,Drago,Gigadragone,Baron Skeletro,,
Dragone nero,S,Drago,Gigadragone,Gemon,,
Dragonlord,S,Drago,Gigadragone,Demone multimani,,
Draku Lard,S,Drago,Lardodragon,Atlas,,
Draku Lard,S,Drago,Lardodragon,Bestiah,,
Draku Lard,S,Drago,Lardodragon,Rosapiteco,,
Tri Aculeo,S,Drago,Polisentinella,Gigadragone,,
Tri Aculeo,S,Drago,Polisentinella,Rashaverak,,
Dragonlord,SS,Drago,Dragonlord,Dragobastro,,
Sire Dragoviano,SS,Drago,Dragonlord,Rhapthorne II,,
Dragriphon,SS,Drago,Barbarus,Sire Dragoviano,,
