category,id,english,italian
monsters,1,Slime,Slime
monsters,2,Bubble Slime,Bollaslime
monsters,3,Shell Slime,Guscioslime
monsters,4,Healslime,Dottor Slime
monsters,5,Drake Slime,Minidrago Slime
monsters,6,Metal Slime,Slime metallico
monsters,7,Slime Knight,Paladino Slime
monsters,8,Wild Slime,Slimpunk
monsters,9,Liquid Metal Slime,Metaliquislime
monsters,10,Angel Slime,Slime angelico
monsters,11,King Slime,Re Slime
monsters,12,King Bubble Slime,Re Bollaslime
monsters,13,Metal King Slime,Re Metalslime
monsters,14,Grandpa Slime,Nonno Slime
monsters,15,Gem Slime,Prezioslime
monsters,16,Trode,Trode
monsters,17,She Slime,Slimetta
monsters,18,Snail Slime,Slimaca
monsters,19,Cureslime,Curaslime
monsters,20,Behemoth Slime,Gigaslime
monsters,21,Beshemoth Slime,Gigaslime arancione
monsters,22,Dragon Slime,Dragonslime
monsters,23,Metal Slime Knight,Metalcabal Slime
monsters,24,Metal Kaiser Slime,Metalslime regale
monsters,25,Dark Slime Knight,Milislime oscuro
monsters,26,Dark Slime,Slime oscuro
monsters,27,King Cure Slime,Re Curaslime
monsters,28,Darkonium Slime,Slime Darkonium
monsters,29,SpotKing,Re Slime maculato
monsters,31,Slime Gang,Gang Slime
monsters,32,Girl Slider,Ragazza Slider
monsters,33,Slime Blaster,Slime Blaster
monsters,34,Robo slime,Roboslime oscuro
monsters,35,Diamond Slime,Sliamante
monsters,36,Liquid Metal King Slime,Re Metaliquislime
monsters,37,Kon,Cavalliere
monsters,38,Prism Peacock,Pavone prismatico
monsters,40,Goresby-Purrvis,Generale Pardus
monsters,41,Yggdrasil,Yggdrasil
monsters,42,Munchie,Munchie
monsters,43,Gamadius,Musferatu
monsters,44,Baalzack,Balzack
monsters,46,Pruslas,Pruslas
monsters,47,x47,Robbin's Lady
monsters,48,Small Fry,Lacertoflamma
monsters,49,Komodo,Giallosauro
monsters,50,Gasbagon,Pallodrago
monsters,51,Argon Lizard,Dragocertola
monsters,53,Green Dragon,Verdrago
monsters,54,Drag-goof,Dragarcio
monsters,55,Jargon,Jargon
monsters,56,Metal Dragon,Metaldragone
monsters,57,Chargon,Kurridor
monsters,58,Hacksaurus,Asciasauro
monsters,59,Red Dragon,Porpordrago
monsters,60,Dragurn,Jargon verde
monsters,61,Great Argon Lizard,Megacertola
monsters,62,Ethereal Serpent,Serpe eterea
monsters,63,Mechan-o-wyrm,Mechadrago
monsters,64,Great dragon,Gigadragone
monsters,65,Drakulard,Draku Lard
monsters,66,Dragonlord,Dragonlord
monsters,68,Dragovian Lord,Sire Dragoviano
monsters,69,Mandrake Marshal,Mandragola soldato
monsters,70,Skelegon,Skeledrago
monsters,71,Dragonthorn,Dragospino
monsters,72,Nardragon,Dragocorno
monsters,73,Frou-Fry,Frufrina
monsters,74,Sea Dragon,Drago marino
monsters,75,Seasaur,Drago d'acqua
monsters,76,Snap Dragon,Rapax
monsters,77,Drakularge,Lardodragon
monsters,78,Tyrantosaurus,Tyrantosauro
monsters,79,Black Dragon,Dragone nero
monsters,80,Frou-Frou,Frufrù
monsters,81,Abyss Diver,Dragoon
monsters,82,Megalodon,Megalodonte
monsters,83,Alabast Dragon,Dragobastro
monsters,85,LizardFly,Lacertoflamma
monsters,86,Damselfly,Libellula
monsters,87,Armoured Wartoise,Testuggine corazzata
monsters,88,Dragon Rider,Cavaliere dei Draghi
monsters,89,Rashaverak,Rashaverak
monsters,90,Tortoceratops,Tartaculei
monsters,91,Sintaur,Ardimentauro
monsters,92,Bilhaw,Grifotauro
monsters,93,Torai Wanda,Tri Aculeo
monsters,94,Dimensional Dragon,Drago dimensionale
monsters,95,Xiphos,Xiphos
monsters,96,Platypunk,Ornitorink
monsters,97,Great Sabrecub,Baby Granzann
monsters,98,Scissor Beetle,Scaraforbici
monsters,99,Stark Raven,Corvoscuro
monsters,100,Jailcat,Rigatto
monsters,101,Khalimari Kid,Baby piovra
monsters,102,Capsichum,Pepe & Rone
monsters,103,Hell Hornet,Infernape
monsters,104,Chimaera,Chimera
monsters,105,Hades Condor,Condor blu
monsters,106,Frog Face,Ranassassina
monsters,107,Crabid,Grankiolon
monsters,108,Bullfinch,Toro incavolato
monsters,109,Eyevory Tusk-tusk,Pachidermico
monsters,110,Giant Moth,Falena gigante
monsters,111,Treeface,Faccia d'albero
monsters,112,Yabby,Crostaceus
monsters,113,Gorerilla,Groarilla
monsters,114,Scorpion,Skorpio
monsters,115,Heligator,Kaiman
monsters,116,Great Sabrecat,Koguar
monsters,117,Garuda,Garuda
monsters,118,Bantamweight,Peso gallo
monsters,119,Firebird,Penna di fuoco
monsters,120,Elder Pipit,Pipetto Anziano
monsters,121,King Squid,Piovra regina
monsters,122,Khalimari,Piovron
monsters,123,Leopold,Leopold
monsters,124,Empyrea,Empyrea
monsters,125,Spiked Hare,Corniglio viola
monsters,126,Powie Yowie,Yeeteeh
monsters,127,Wild Boarfish,Ichtus verde
monsters,128,Eveel,Malanguilla
monsters,129,Riptide,Assalitore marino
monsters,130,Beetlebully,Scaradozer
monsters,131,Cruelcumber,Verdurfante
monsters,132,ArmyAnt,Formica soldato
monsters,133,Florajay,Ghiandaia floreale
monsters,134,Cactiball,Cactusfera
monsters,135,ArmorPede,Sentripede
monsters,136,CragDevil,Pinguinrock
monsters,137,Killer Ape,Scimmia fracassona
monsters,138,Lleviathan,Baleviatan
monsters,139,Pipit,Pipit
monsters,140,Panickle,Mantis composita
monsters,141,Flamethrower,Lanciafuoco
monsters,142,Blizzybody,Frigoforo
monsters,143,Wooper Trooper,Guerreruspo
monsters,144,Mischievous Mole,Cattivalpa
monsters,145,Bodkin Archer,Anselmo Tell
monsters,146,Hammerhood,Martellus
monsters,147,Satyr,Satyro
monsters,148,Jumping Jackal,Sciakallo
monsters,149,Genie Sanguini,Sanguinigenio
monsters,150,Chainine,Mastino guerriero
monsters,151,Puppeteer,Burattinaio nero
monsters,152,Beetleboy,Scarafante nero
monsters,153,Orc,Cinghialorco
monsters,154,Head Hunter,Cacciateste
monsters,155,Fallen Priest,Druido del male
monsters,156,Fencing Fox,Athos
monsters,157,Pan Piper,Pan
monsters,159,Gargoyle,Gargoyle
monsters,160,Weartiger,Tigre mannara
monsters,162,Gigantes,Gigante
monsters,163,Cockateer,Pollo d'attacco
monsters,164,Monkey Zombie,Scimmia Zombie
monsters,165,Notso-Macho,Pocomacho
monsters,166,Kingy,Re Sanguini
monsters,167,Boss Troll,Troll capo
monsters,168,Atlas,Atlas
monsters,169,Don Mole,Don Mole
monsters,170,Robbin Hood,Ruban Hood
monsters,171,Dhoulmagus,Dhoulmagus
monsters,172,Rhapthorne,Rhapthorne
monsters,173,Rhapthorne 2,Rhapthorne II
monsters,174,Ace of Spades,Asso di picche
monsters,175,Brownie,Martellus magnus
monsters,176,LeoKid,Leonix
monsters,178,Boppin` Badger,Kan Kanide
monsters,179,Pickeerer,Picchiune
monsters,180,Catfly,Gatto vampiro
monsters,181,Seadog,Cane di mare
monsters,182,Battering Ram,Montone dannato
monsters,183,Bewarewolf,Lupomannaro
monsters,184,Mortoad,Rospo blu
monsters,185,Trigertaur,Trigertauro
monsters,186,Inopp,Mezzo porco
monsters,187,Tantamount,Tanamount
monsters,188,Squign,Squigno
monsters,189,Nodoph,Alfino
monsters,190,Goreham-Hogg,Generale Soinos
monsters,191,Slon,Slon la Torre
monsters,192,Bag O` Laughs,Sacco golosone
monsters,193,Wax Murderer,Ferocandela
monsters,194,Firespirit,Fuoco fatuo
monsters,195,Mecha-mynah,Pettirobot
monsters,196,Mud Mannequin,Pu pazzo
monsters,197,Dingaling,Campanella
monsters,198,Goodybag,Sacco dentato
monsters,199,Shadow,Ombra
monsters,200,Cannibox,Cannibaule
monsters,201,Spitnik,Sole & Soletto
monsters,202,Hunter Mech,Mechator grigio
monsters,203,Rockbomb,Esplo-sasso
monsters,204,Mum,Mam
monsters,205,Golem,Golem
monsters,206,Boh,Bu
monsters,207,Dancing Flame,Fiamma danzante
monsters,208,Jum,Jam
monsters,209,Frostburn,Spirito gelido
monsters,210,Boe,Bo
monsters,211,King Kelp,Alga sovrana
monsters,212,Mimic,Skrigno dentato
monsters,213,Diemon,Dademone blu
monsters,214,UberKilling Machine,Cybercentauro
monsters,215,Gold Golem,Golem dorato
monsters,216,Living Statue,Statua vivente
monsters,217,Trap Box,Demonskrigno
monsters,218,Killing Machine,Mechacentauro
monsters,219,Mumboh-Jumboe,Mambu-Jambo
monsters,220,Ruin,Rovina
monsters,221,Psaro,Psaro
monsters,222,Estark,Estark
monsters,223,Anchorman,Ankora killer
monsters,224,Ticking Timeburrm,Burrm a orologeria
monsters,225,Corrupt Carter,Corriere Corrotto
monsters,226,Pocus Poppet,Magibambola
monsters,227,Butchoman,Axecutioner
monsters,228,Chariot Chappie,Carrettiere
monsters,229,Moai Minstrel,Menestrello Moai
monsters,230,Harmour,Armour
monsters,231,Foo Dog,Caneffu
monsters,232,Cumulus Rex,Cumulus Rex
monsters,233,Octagoon,Octagos
monsters,234,Wishmaster,Signore dei desideri
monsters,235,Stainless Scrapper,Rottame d'acciaio
monsters,236,Scytheborg,Borgomietitore
monsters,237,ClayNite,Guerriero di terracotta
monsters,238,Shield Ogre,Scudorkus
monsters,239,Time Sage,Semper Actualis
monsters,240,Dracky,Vampistrello
monsters,241,Lips,Smacker
monsters,242,Winky,Monocolo
monsters,243,Imp,Diavoletto
monsters,244,Lump Wizard,Blob bianco
monsters,245,Night Emperor,Re della notte
monsters,246,Dancing Devil,Demone danzante
monsters,247,Mad Knight,Cavaliere Aberrante
monsters,248,Merman,Athlantos
monsters,249,Lesser Demon,Demone minore
monsters,250,Gryphon,Grifone
monsters,251,Aggrosculpture,Aggroscultura
monsters,252,Octavian Sentry,Polisentinella
monsters,253,Silvapithecus,Silvapiteco
monsters,254,Dark Leonyx,Malevoleonex
monsters,255,Archdemon,Arcidemone
monsters,256,Moosifer,Basettos
monsters,257,Buffalogre,Bufalorco
monsters,258,Jamirus,Jamirus
monsters,259,Mohawker,Cresta furiosa
monsters,260,Pazuzu,Rosapiteco
monsters,261,Gracos,Gracos
monsters,262,Belial,Bestiah
monsters,263,Night Clubber,Randellatore notturno
monsters,264,Malroth,Malroth
monsters,265,Zoma,Zoma
monsters,266,Nimzo,Nimzo
monsters,267,Mortamor,Moltomort
monsters,268,Orgodemir,Granvert
monsters,269,See Urchin,Riccio ribelle
monsters,270,Dessert Demon,Dolcimonius
monsters,271,Lethal Armour,Armatura letale
monsters,272,Great Dracky,Grampistrello
monsters,273,Wrecktor,Destructore
monsters,274,Demon-at-arms,Demone multimani
monsters,275,Tree Feller,Taglialbero
monsters,276,Gruffon,Gruffone
monsters,277,Prickly Prankster,Jolly killer
monsters,278,Grim Keeper,Custode tetro
monsters,279,General,Capitan Catastrofe
monsters,280,High Djinks,Mago pancione
monsters,281,Juggular,Juggulare
monsters,282,Hootingham Gore,Generale Gufus
monsters,283,Demon King,Barone Von Bellycose
monsters,284,King Korol,Re Korol
monsters,285,Hyperanemon,Hyperanemon
monsters,286,Blackmar,Neromar
monsters,287,Aamon,Aamon
monsters,288,Cerberus,Cerbero
monsters,289,Ghost,Phantasma
monsters,290,Stump Chump,Ceppo Geppo
monsters,291,DemiGhoul,Ghoul sbavante
monsters,292,Muddy Hand,Mano
monsters,293,Swingin` Hipster,Hipster swingante
monsters,294,Funghoul,Nauseafungus
monsters,295,PomPom Bomb,Dirigibilio
monsters,296,Walking Corpse,Zombeeh
monsters,297,Demon Rider,Cavaliere feroce
monsters,298,Skeleton,Skeletro
monsters,299,Restless Armour,Armatura killer
monsters,300,Grim Rider,Cavalier Mortimer
monsters,301,Mummy Boy,Cocco di mummia
monsters,302,Soulspawn,Ira
monsters,303,Wailing Weed,Kantalga
monsters,304,Phantom Fencer,Fantagnan
monsters,305,Roseguardin,Guardarosa
monsters,306,Bone Baro,Baron Skeletro
monsters,307,Dullahan,Dullahan
monsters,308,Tortured Soul,Anima torturata
monsters,309,Captain Crow,Capitan Crow
monsters,310,Dr Snapped,Prof Briskod
monsters,311,Skipper,Stivale matto
monsters,312,Flyguy,Uomosca
monsters,313,Hellhound,Lupo infernale
monsters,314,Skeleton Soldier,Soldaskeletro
monsters,315,Phantom Swordsman,Principe Spectros
monsters,316,Wight King,Druido supremo
monsters,317,DarkCrab,Granchio oscuro
monsters,318,Cobra Cardinal,Cobra cardinale
monsters,319,Wight Knight,Cavaliere dell'Ombra
monsters,320,Ragin` Contagion,Epidemon
monsters,321,GigaMute,Gigalunfo
monsters,322,Drakorpse,Verme delle Grotte
monsters,323,Bishop Ladja,Pope Skriterioska
monsters,325,King Godwyn,Re Godwyn
monsters,336,Wulfspade,Lupicche
monsters,337,Hawkhart,Cuordifalco
monsters,338,Cluboon,Fiorango
monsters,339,Diamagon,Quadrago
monsters,340,Wulfspade Ace,Lupicche Asso
monsters,341,Hawkhart Ace,Cuordifalco Asso
monsters,342,Cluboon Ace,Fiorango Asso
monsters,343,Diamagon Ace,Quadrago Asso
monsters,344,Wildcard,Joker
monsters,346,Darck,Darck
monsters,347,Magarugi,Magarugi
monsters,348,Sitting lion beast,Re Babbuino
monsters,349,Evil beast,Babbuincubo
monsters,350,Zoma`s Devil,Mini Zoma
monsters,351,Gadis,Gadis
monsters,352,Stormsgate Citadel,Forte di Nadiria
monsters,353,Mini Metal Slime,Lattaslime
monsters,355,Dragonlord,Dragonlord
monsters,356,Stella,Stella
monsters,357,Greygnarl,Dragriphon
monsters,358,Barbarus,Barbarus
monsters,359,Corvus,Corvus
monsters,360,Bjorn,Wasen
monsters,361,Conklave,Vegetribù
monsters,362,Mental Pitcher,Peracolosa
monsters,363,Heedoo Voodoo,Mostradamus
monsters,364,Cheeky Tiki,Maskerossa
monsters,365,Swarm Troopers,Zanzakiller
monsters,366,Wiggly,Vermex
monsters,367,Killerpillar,Millecolpi
monsters,368,Missing Lynx,Lince alata
monsters,369,Warubou,Scruffy
monsters,370,Hyper Heyedra,Bulbo ramificato
monsters,371,Bad Egg,Maluovo
monsters,372,Heyedra,Tentacolocchio
monsters,373,Weedie,Multifoglia
monsters,374,Baramos,Padramos
monsters,375,Magmalice,Magmalvagio
monsters,376,Fright Knight,Cavalier Terror
monsters,377,Hargon,Hargon
monsters,378,Titanis,Titanis
monsters,379,Mottle Slime,Slime maculato
monsters,380,Rubble Slime,Slime polifemico
monsters,381,Magic Slime,Magislime
monsters,382,Cyber Slime,Cyber Slime
monsters,383,Rotten Egg,Ovomarch
monsters,384,Snowmangler,Homo nevis
monsters,385,Noble Gasbagon,Gran Pallodrago
monsters,386,Aquestrian Gladiator,Gladiatore marino
monsters,387,Boreal Serpent,Serpe boreale
monsters,388,Orochi,Orochi
monsters,389,Zenith Dragon,Drago di Zenithia
monsters,390,Weaken Beakon,Beck Beck
monsters,391,Barracuda,Barracuda
monsters,392,Boring Bug,Zeck
monsters,393,Gripevine,Fiore della morte
monsters,394,Cross Eye,Spiritocchio
monsters,395,Paws,Pescelupo
monsters,396,Snowbird,Gelatile
monsters,397,Marquis de Leon,Marchese de Léon
monsters,398,Erazor Blade,Riditarra
monsters,399,Overkilling Machine,Mega Mechator
monsters,400,Malevolamp,Malampada
monsters,401,Firn Fiend,Gelmonio
monsters,402,Balhib,Centopetra
monsters,403,Conkubines,Minitribù
monsters,404,Dangler Fish,Multident
monsters,405,Dhuran,Duran
monsters,406,Nokturnus,Nokturnus
monsters,407,Gemon,Gemon
monsters,408,Murdaw,Lacertow
monsters,409,Bona Constrictor,Serpe d'ossa
monsters,410,Cross Bones,Ossassassino
monsters,411,Drohl Drone,Droll
monsters,412,Night Knight,Paladinorribilis
monsters,413,Dierantula,Terrorantula
monsters,414,Aerix,Exorsus
monsters,415,Taurus,Taurus
monsters,416,Geminex,Gemines
monsters,417,Paizar,Demonstrum
monsters,418,Virgella,Virgax
monsters,419,Kap,Kapurim
monsters,420,Scorpella,Scorpia
monsters,421,Libranex,Rigor Mortex
monsters,422,Canzar,Cancerio
monsters,423,Aquarion,Aquarion
monsters,424,Sagittar,Sagitta
monsters,426,Leonyx,Leonex
monsters,427,Schwarzman Tank,Carro Slival
monsters,428,Ultra Slime,Ultra Slime
monsters,429,Trauminator,Traumatizzator
monsters,430,Tyrannosaurus Wrecks,Tiranosfascia
monsters,431,Teeny Sanguini,Sanguinis
monsters,432,Pink Sanguini,Sanguonicum
monsters,433,Shogum,Slime Perbellum
monsters,434,Slime Stack,Torreslime
monsters,435,Fluffy,Ovattino
monsters,436,Numen,Divino
monsters,437,Nemeslime,Slime Nemo
monsters,438,Prince O` Thieves,Principe Latrum
monsters,439,Robbin Huddle,Band
monsters,440,Great Godbird,Terrore alato
monsters,441,Xenlon,Xenlon
monsters,442,Maniacal Mole,Rossotalpa
monsters,443,Seedy Weedie,Multifoglia Klar
monsters,444,Drohl Diabolist,Droll Diabolista
monsters,445,Schleiman Tank,Tankissimus
monsters,448,Hyper Heyedra,Bulbo ramificato
monsters,449,Wiggly,Vermex
monsters,450,Missing Lynx,Lince alata
monsters,451,Tails,Coda lincea
monsters,452,Bjorn Jr{00}{00},Wasinen
monsters,453,Bjorn,Wasen
monsters,454,Bjorn,Wasen
monsters,455,Bjorn Jr{00}{00},Wasinen
monsters,456,Tentacle,Tentack
monsters,457,Missing Lynx,Lince alata
monsters,458,Gemon,Gemon
monsters,459,Empyrea,Empyrea
monsters,460,Khalimari,Piovron
monsters,461,Overkilling Machine,Mega Mechator
monsters,462,Sagittar,Sagitta
monsters,464,Leonyx,Leonex
monsters,465,Great dragon,Gigadragone
monsters,466,Wight King,Druido supremo
monsters,467,Metal King Slime,Re Metalslime
monsters,468,Bilhaw,Grifotauro
monsters,469,Captain Crow,Capitan Crow
monsters,470,Dark Leonyx,Malevoleonex
monsters,472,Schleiman Tank,Tankissimus
monsters,473,Dhoulmagus,Dhoulmagus
monsters,474,Barbarus,Barbarus
monsters,475,Nokturnus,Nokturnus
monsters,476,Ultra Slime,Ultra Slime
monsters,477,Nemeslime,Slime Nemo
monsters,478,Estark,Estark
monsters,479,Dimensional Dragon,Drago dimensionale
monsters,480,Stella,Stella
monsters,481,Sitting lion beast,Re Babbuino
monsters,482,Evil beast,Babbuincubo
monsters,483,Don Mole,Don Mole
monsters,484,Canzar,Cancerio
monsters,485,Harmour,Armour
monsters,486,Libranex,Rigor Mortex
monsters,487,Wight Knight,Cavaliere dell'Ombra
monsters,488,Mad Knight,Cavaliere Aberrante
monsters,489,Balhib,Centopetra
monsters,490,Ethereal Serpent,Serpe eterea
monsters,491,Dragovian Lord,Sire Dragoviano
monsters,492,Leopold,Leopold
monsters,493,Overkilling Machine 2,Robocentauro
monsters,494,Demon-at-arms,Demone multimani
monsters,495,Liquid Metal Slime,Metaliquislime
monsters,496,Sagittar,Sagitta
monsters,497,Trauminator,Traumatizzator
monsters,498,Night Clubber,Randellatore notturno
monsters,499,Hootingham Gore,Generale Gufus
monsters,500,Perfect Sanguini,Sanguinis
