id,english,italian
0,Archie Logg,Marcus Logos
1,Baboorood,Baboorood
2,Billie,Sira
3,Captain Mayday,Capitan Alex
4,Dr. Lump,Doc Syntex
5,Duke,Halb
6,ELder,ELder
7,Elder,Elder
8,Eugene Poole,Eugene Poole
9,Incarnus,Incarnus
10,Infantus,Infantus
11,King Sanguini,King Sanguini
12,Kukri,Kukri
13,Lily Gilder,Lady Lidia
14,Marsha,Pupa
15,Maybellina,Maybellina
16,Melonie,Sheila
17,Miles,Rico
18,Moles,Talpe
19,Mynos the Elder,Mynos il Vecchio
20,Referee,Arbitro
21,Rory Bellows,Meck Nick
22,Sanguini,Sanguini
23,Solitaire,Solitaire
24,TIko,TIko
25,The Countess,Contessa
26,Tiko,Tiko
