id,english,italian
0,Treepidation,Selvascura
1,Doubtback,Vastopiano
2,Iceolation,Gelandia
3,Cragravation,Precipizia
4,Unshore,Costa Ignota
5,Bemusoleum,Mausoleum
6,Dark World,Terranira
7,Pipisle,Isola Pipit
8,Albatross,Albatros
9,Monster Pen,Recinto mostri
10,Monster Scout Tournament,Torneo Monster Scout
11,World Monster Championship,Campionato mondiale dei mostri
12,Ultimate Master Cup,Coppa suprema dei maestri
13,Scout Arena,Arena Scout
14,Scout Arena Supreme,Arena Scout Suprema
15,Gold Bank,Banca Aurea
16,Gold Bank ATM,Banca Aurea
