id,english,italian
0,None,Nessuna
1,Dodger,Evasione totale
2,Metal Body,Corpo metallico
3,Psycho,Carica super
4,Double Trouble,Raddoppio mostruoso
5,Critical Massacre,Mitico critico
6,Metal Beater,Battimetallo
7,Fly Swatter,Centro perfetto
8,Last Word,Ultimatum
9,Early Bird,Prima e meglio
10,Counterstriker,Contrattaccante
11,Poisonous,Venenum
12,Paralysing,Paralys
13,Escape Artist,Fuga da maestro
14,Steady Recovery,Autoguarigione
15,Magic Regenerator,Rigenerazione magica
16,Health Professional,Recupera & risparmia
17,Frizz Master,Guru della Fiamma
18,Bang Master,Guru del Bang
19,Woosh Master,Guru del Vento
20,Crack Master,Guru del Gelo
21,Zap Master,Guru del Fulmine
22,Zam Master,Guru dell'Elektron
23,Desperado,Desperado
24,Ambusher,Agguato esperto
25,Magic Miser,Salvamagia
26,Magic Scrooge,Risparmio magico
27,Weapon Master,Maestro d'armi
28,Big Hitter,Danno grave
29,Grand Slammer,Super Slam
30,Hit Squad,Attacco multiplo
31,Giant Killer,Ammazzagiganti
32,Small Killer,Ammazzastandard
33,ParaTouch,Tocco paralizzante
34,PoisonTouch,Tocco velenoso
35,ConfTouch,Tocco confusivo
36,SleepTouch,Tocco soporifero
37,Comeback Kid,Ritorno a sorpresa
38,Alluring,Fascino strano
39,Coward,Codardo
40,Lucky,Fortunato
41,Unlucky,Sfortunato
42,Rabble Rouser,Alta tensione
43,Heckling Hector,Bassa tensione
44,Bouncer,Riflessione prolungata
45,Counter Act,Anticontrattaccante
46,Hope Hitter,Estremi opposti
47,Close Scraper,Salvezza stentata
48,Perilous Parrier,Danni sorprendenti
49,Gambling Counters,Contro Azzardato
50,Tension Downer,Brontolone
51,Talent Scout,Cacciatalenti
52,Fast Learner,Esperienza premiante
53,Gold Getter,Tocco di Mida
54,Lootist,Oggetti ritrovati
55,Late Riser,Sveglia ritardata
56,Loose Cannon,Gran confusione
57,Rival Riler,Tensione pericolosa
58,Disenchanted,Magia evanescente
59,T59,Guardia critica totale
60,Spell Splurger,Cari incantesimi
61,Attallergic,Attacchi da panico
62,Rolling Over,Rigirarsi nel sonno
63,T63,Statico
64,Berserker,Furioso
65,T65,Spirito indomito
66,Metal Killer,Ammazza Metallo
67,T67,Ruba magia
68,Drain Magic Attack,PickMagic
69,Deadly Touch,Ala della morte
70,Sizz Master,Guru del Pyro
71,Scare Stare,Gardameh
72,Imposing,Presenza ingombrante
73,Intimidating,Intimidazione
74,Timid,Timidezza
75,Foot Dragger,Pigrizia
76,1-2 Attk,Soldato tattico
77,1-3 Attk,Genio tattico
78,Pro Talent Scout,Grande Cacciatalenti
79,HP Gamble,Roulette dei PV
80,MP Gamble,Roulette del PM
81,Atk Gamble,Roulette dell'ATT
82,Def Gamble,Roulette del DIF
83,Agi Gamble,Roulette dell'AGI
84,Wis Gamble,Roulette dell'INT
85,HP Bubble,Azzardo PV
86,MP Bubble,Azzardo PM
